4 - Televisor - 1 - caba - 90 - 2 --9075 
5 - Pendrive - 4 - caba - 58 - 0 --6050 
7 - Radio - 2 - caba - 69 - 2 --6975 
24 - Cocina - 7 - caba - 83 - 1 --8720 
29 - Lavarropas - 4 - caba - 116 - 0 --11850 
32 - Cocina - 1 - caba - 11 - 1 --1520 
33 - Cocina - 4 - caba - 19 - 2 --1975 
41 - Televisor - 5 - caba - 66 - 1 --7020 
46 - Radio - 6 - caba - 91 - 1 --9520 
47 - Cocina - 3 - caba - 64 - 2 --6475 
58 - Radio - 6 - caba - 67 - 0 --6950 
62 - Plancha - 3 - caba - 103 - 0 --10550 
64 - Licuadora - 5 - caba - 75 - 2 --7575 
71 - Lavarropas - 6 - caba - 99 - 2 --9975 
72 - Radio - 7 - caba - 89 - 2 --8975 
77 - Licuadora - 7 - caba - 68 - 0 --7050 
80 - Plancha - 1 - caba - 118 - 2 --11875 
81 - Licuadora - 7 - caba - 91 - 1 --9520 
85 - Plancha - 7 - caba - 76 - 2 --7675 
93 - Pendrive - 1 - caba - 17 - 0 --1950 
97 - Radio - 3 - caba - 109 - 2 --10975 
99 - Cocina - 2 - caba - 85 - 1 --8920 
102 - Cocina - 5 - caba - 77 - 2 --7775 
113 - Cocina - 2 - caba - 60 - 2 --6075 
115 - Licuadora - 1 - caba - 114 - 0 --11650 
121 - Pendrive - 3 - caba - 104 - 2 --10475 
126 - Cocina - 3 - caba - 94 - 1 --9820 
143 - Plancha - 1 - caba - 62 - 0 --6450 
149 - Lavarropas - 6 - caba - 94 - 1 --9820 
163 - Pendrive - 2 - caba - 51 - 2 --5175 
166 - Cocina - 1 - caba - 52 - 2 --5275 
178 - Cocina - 2 - caba - 85 - 2 --8575 
181 - Lavarropas - 2 - caba - 103 - 1 --10720 
187 - Televisor - 2 - caba - 73 - 1 --7720 
193 - Televisor - 7 - caba - 31 - 0 --3350 
198 - Cocina - 7 - caba - 59 - 0 --6150 
